2025-11-22 15:41:25 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 15:43:40 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 15:45:08 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 15:47:17 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 15:48:42 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 15:48:50 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 15:50:57 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 16:01:47 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 16:02:39 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 16:03:28 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 16:03:59 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-11-22 16:06:31 DEBUG com.nnk.springboot.Application - Running with Spring Boot v3.1.0, Spring v6.0.9
